"gene_id"	"bp_length"	"symbol"
"16240"	"ENSG00000186301.8"	2291	NA
"16241"	"ENSG00000186306.1"	945	OR10T2
"16242"	"ENSG00000186310.9"	2639	NAP1L3
"16243"	"ENSG00000186312.10"	2409	CA5BP1
"16244"	"ENSG00000186314.11"	5375	PRELID2
"16245"	"ENSG00000186318.16"	7190	BACE1
"16246"	"ENSG00000186326.3"	2894	RGS9BP
"16247"	"ENSG00000186328.4"	328	NA
"16248"	"ENSG00000186329.9"	2719	TMEM212
"16249"	"ENSG00000186334.9"	4575	SLC36A3
"16250"	"ENSG00000186335.8"	4263	SLC36A2
"16251"	"ENSG00000186340.14"	6397	THBS2
"16252"	"ENSG00000186350.9"	10814	RXRA
"16253"	"ENSG00000186352.8"	2580	ANKRD37
"16254"	"ENSG00000186354.10"	5050	C9orf47
"16255"	"ENSG00000186364.11"	1657	NUDT17
"16256"	"ENSG00000186367.6"	2354	KIAA1024L
"16257"	"ENSG00000186369.10"	4637	NA
"16258"	"ENSG00000186376.14"	6819	ZNF75D
"16259"	"ENSG00000186377.7"	2548	CYP4X1
"16260"	"ENSG00000186393.5"	1733	KRT26
"16261"	"ENSG00000186395.7"	2144	KRT10
"16262"	"ENSG00000186399.10"	4433	GOLGA8R
"16263"	"ENSG00000186407.6"	3752	CD300E
"16264"	"ENSG00000186409.14"	13504	CCDC30
"16265"	"ENSG00000186416.13"	4004	NKRF
"16266"	"ENSG00000186417.13"	7144	GLDN
"16267"	"ENSG00000186431.18"	2366	FCAR
"16268"	"ENSG00000186432.8"	9413	KPNA4
"16269"	"ENSG00000186439.12"	6700	TRDN
"16270"	"ENSG00000186440.1"	954	OR6P1
"16271"	"ENSG00000186442.7"	2319	KRT3
"16272"	"ENSG00000186446.11"	3910	ZNF501
"16273"	"ENSG00000186448.14"	6767	ZNF197
"16274"	"ENSG00000186451.1"	2413	SPATA12
"16275"	"ENSG00000186452.10"	3336	TMPRSS12
"16276"	"ENSG00000186453.12"	2265	FAM228A
"16277"	"ENSG00000186458.4"	2121	DEFB132
"16278"	"ENSG00000186462.8"	2550	NAP1L2
"16279"	"ENSG00000186466.5"	1045	NA
"16280"	"ENSG00000186468.12"	4204	RPS23
"16281"	"ENSG00000186469.8"	6379	GNG2
"16282"	"ENSG00000186470.13"	7042	BTN3A2
"16283"	"ENSG00000186471.12"	1170	AKAP14
"16284"	"ENSG00000186472.19"	22873	PCLO
"16285"	"ENSG00000186474.15"	1769	KLK12
"16286"	"ENSG00000186479.4"	4379	RGS7BP
"16287"	"ENSG00000186480.12"	3650	INSIG1
"16288"	"ENSG00000186481.16"	6302	NA
"16289"	"ENSG00000186487.17"	13081	MYT1L
"16290"	"ENSG00000186493.11"	1925	C5orf38
"16291"	"ENSG00000186496.10"	6052	ZNF396
"16292"	"ENSG00000186501.14"	4476	TMEM222
"16293"	"ENSG00000186508.4"	903	NA
"16294"	"ENSG00000186509.4"	2488	OR9Q1
"16295"	"ENSG00000186510.11"	3476	CLCNKA
"16296"	"ENSG00000186513.2"	1085	OR9Q2
"16297"	"ENSG00000186517.13"	5064	ARHGAP30
"16298"	"ENSG00000186522.14"	4131	SEPT10
"16299"	"ENSG00000186523.14"	4232	c("FAM86B1", "FAM86B2", "FAM86KP")
"16300"	"ENSG00000186526.12"	7048	CYP4F8
"16301"	"ENSG00000186529.14"	5860	CYP4F3
"16302"	"ENSG00000186532.11"	6777	SMYD4
"16303"	"ENSG00000186543.7"	830	NA
"16304"	"ENSG00000186562.7"	330	DEFB105A
"16305"	"ENSG00000186564.5"	4675	FOXD2
"16306"	"ENSG00000186566.12"	9734	GPATCH8
"16307"	"ENSG00000186567.12"	5203	CEACAM19
"16308"	"ENSG00000186572.2"	389	DEFB107A
"16309"	"ENSG00000186575.17"	7170	NF2
"16310"	"ENSG00000186577.12"	2229	C6orf1
"16311"	"ENSG00000186579.2"	303	DEFB106A
"16312"	"ENSG00000186583.11"	2007	SPATC1
"16313"	"ENSG00000186591.11"	6392	UBE2H
"16314"	"ENSG00000186594.13"	2986	c("MIR22HG", "MIR22")
"16315"	"ENSG00000186599.7"	331	DEFB105B
"16316"	"ENSG00000186603.5"	1629	HPDL
"16317"	"ENSG00000186615.10"	3595	KTN1-AS1
"16318"	"ENSG00000186625.13"	2308	KATNA1
"16319"	"ENSG00000186628.12"	6536	FSD2
"16320"	"ENSG00000186635.14"	9056	ARAP1
"16321"	"ENSG00000186638.16"	6131	KIF24
"16322"	"ENSG00000186642.15"	7182	PDE2A
"16323"	"ENSG00000186645.7"	783	NA
"16324"	"ENSG00000186648.14"	6665	CARMIL3
"16325"	"ENSG00000186652.9"	1838	PRG2
"16326"	"ENSG00000186654.20"	5247	PRR5
"16327"	"ENSG00000186660.14"	5220	ZFP91
"16328"	"ENSG00000186665.9"	2396	C17orf58
"16329"	"ENSG00000186666.5"	3721	BCDIN3D
"16330"	"ENSG00000186675.6"	2249	MAGEE2
"16331"	"ENSG00000186676.3"	1299	NA
"16332"	"ENSG00000186678.7"	313	NA
"16333"	"ENSG00000186684.12"	4491	CYP27C1
"16334"	"ENSG00000186687.15"	6351	LYRM7
"16335"	"ENSG00000186704.9"	1633	NA
"16336"	"ENSG00000186710.11"	1726	CFAP73
"16337"	"ENSG00000186714.12"	7875	CCDC73
"16338"	"ENSG00000186715.10"	5180	NA
"16339"	"ENSG00000186716.19"	12389	BCR
"16340"	"ENSG00000186723.3"	1124	OR10H1
"16341"	"ENSG00000186732.13"	5821	MPPED1
"16342"	"ENSG00000186743.2"	740	NA
"16343"	"ENSG00000186765.11"	2019	FSCN2
"16344"	"ENSG00000186766.7"	3217	FOXI2
"16345"	"ENSG00000186767.6"	4117	SPIN4
"16346"	"ENSG00000186777.11"	2193	ZNF732
"16347"	"ENSG00000186787.8"	1477	SPIN2B
"16348"	"ENSG00000186788.13"	4785	SPATA31D3
"16349"	"ENSG00000186790.5"	1981	FOXE3
"16350"	"ENSG00000186792.16"	2030	HYAL3
"16351"	"ENSG00000186795.1"	1155	KCNK18
"16352"	"ENSG00000186803.3"	963	IFNA10
"16353"	"ENSG00000186806.5"	3771	VSIG10L
"16354"	"ENSG00000186810.7"	1868	CXCR3
"16355"	"ENSG00000186812.12"	8710	ZNF397
"16356"	"ENSG00000186814.12"	8010	ZSCAN30
"16357"	"ENSG00000186815.12"	8728	TPCN1
"16358"	"ENSG00000186818.12"	6328	LILRB4
"16359"	"ENSG00000186825.5"	1325	NA
"16360"	"ENSG00000186827.10"	1721	TNFRSF4
"16361"	"ENSG00000186831.11"	2145	NA
"16362"	"ENSG00000186832.8"	2475	KRT16
"16363"	"ENSG00000186834.3"	3600	HEXIM1
"16364"	"ENSG00000186838.13"	1731	SELENOV
"16365"	"ENSG00000186842.4"	1778	NA
"16366"	"ENSG00000186844.5"	422	LCE1A
"16367"	"ENSG00000186847.5"	2281	KRT14
"16368"	"ENSG00000186854.10"	8771	c("TRABD2A", "LOC105374836")
"16369"	"ENSG00000186860.4"	779	KRTAP17-1
"16370"	"ENSG00000186862.17"	5821	PDZD7
"16371"	"ENSG00000186866.16"	5862	POFUT2
"16372"	"ENSG00000186867.10"	2160	QRFPR
"16373"	"ENSG00000186868.15"	14920	MAPT
"16374"	"ENSG00000186871.6"	4364	ERCC6L
"16375"	"ENSG00000186881.3"	960	OR13F1
"16376"	"ENSG00000186886.6"	1041	NA
"16377"	"ENSG00000186889.9"	2982	TMEM17
"16378"	"ENSG00000186891.13"	1370	TNFRSF18
"16379"	"ENSG00000186895.2"	892	FGF3
"16380"	"ENSG00000186897.4"	2071	C1QL4
"16381"	"ENSG00000186907.7"	2387	RTN4RL2
"16382"	"ENSG00000186908.14"	8800	ZDHHC17
"16383"	"ENSG00000186910.3"	1476	SERPINA11
"16384"	"ENSG00000186912.6"	1595	P2RY4
"16385"	"ENSG00000186918.13"	5819	ZNF395
"16386"	"ENSG00000186919.12"	4307	ZACN
"16387"	"ENSG00000186924.3"	296	KRTAP22-1
"16388"	"ENSG00000186925.6"	330	KRTAP19-6
"16389"	"ENSG00000186930.4"	313	KRTAP6-2
"16390"	"ENSG00000186940.6"	456	NA
"16391"	"ENSG00000186943.1"	963	OR13C8
"16392"	"ENSG00000186951.16"	13219	PPARA
"16393"	"ENSG00000186952.14"	9563	TMEM232
"16394"	"ENSG00000186960.10"	2772	LINC01551
"16395"	"ENSG00000186965.4"	380	KRTAP19-2
"16396"	"ENSG00000186967.6"	310	KRTAP19-4
"16397"	"ENSG00000186970.4"	671	KRTAP15-1
"16398"	"ENSG00000186971.3"	797	KRTAP13-4
"16399"	"ENSG00000186973.10"	843	FAM183A
"16400"	"ENSG00000186976.14"	8557	EFCAB6
"16401"	"ENSG00000186977.2"	461	KRTAP19-5
"16402"	"ENSG00000186980.6"	211	KRTAP23-1
"16403"	"ENSG00000186994.11"	3594	KANK3
"16404"	"ENSG00000186998.15"	4899	EMID1
"16405"	"ENSG00000187003.6"	1494	ACTL7A
"16406"	"ENSG00000187005.4"	599	KRTAP21-1
"16407"	"ENSG00000187010.19"	3313	RHD
"16408"	"ENSG00000187012.10"	914	LINC00207
"16409"	"ENSG00000187013.4"	1530	NA
"16410"	"ENSG00000187017.15"	6943	ESPN
"16411"	"ENSG00000187021.14"	4986	PNLIPRP1
"16412"	"ENSG00000187024.13"	3595	PTRH1
"16413"	"ENSG00000187026.2"	440	KRTAP21-2
"16414"	"ENSG00000187033.9"	2512	SAMD7
"16415"	"ENSG00000187037.8"	2312	GPR141
"16416"	"ENSG00000187045.16"	4082	TMPRSS6
"16417"	"ENSG00000187048.12"	3890	CYP4A11
"16418"	"ENSG00000187049.9"	2364	TMEM216
"16419"	"ENSG00000187051.8"	3763	RPS19BP1
"16420"	"ENSG00000187054.15"	3970	TMPRSS11A
"16421"	"ENSG00000187066.8"	4194	TMEM262
"16422"	"ENSG00000187068.2"	5901	C3orf70
"16423"	"ENSG00000187079.15"	10279	TEAD1
"16424"	"ENSG00000187080.7"	1107	OR2AK2
"16425"	"ENSG00000187082.2"	316	DEFB106B
"16426"	"ENSG00000187091.13"	4314	PLCD1
"16427"	"ENSG00000187094.11"	2085	CCK
"16428"	"ENSG00000187097.12"	10379	ENTPD5
"16429"	"ENSG00000187098.14"	7193	MITF
"16430"	"ENSG00000187103.3"	533	NA
"16431"	"ENSG00000187105.8"	4209	HEATR4
"16432"	"ENSG00000187109.13"	17355	NAP1L1
"16433"	"ENSG00000187116.13"	1760	LILRA5
"16434"	"ENSG00000187118.12"	10536	CMC1
"16435"	"ENSG00000187122.16"	9103	SLIT1
"16436"	"ENSG00000187123.14"	5033	LYPD6
"16437"	"ENSG00000187134.13"	8765	AKR1C1
"16438"	"ENSG00000187135.7"	1488	VSTM2B
"16439"	"ENSG00000187140.5"	2086	FOXD3
"16440"	"ENSG00000187144.11"	4506	SPATA21
"16441"	"ENSG00000187147.17"	9687	RNF220
"16442"	"ENSG00000187151.7"	2368	ANGPTL5
"16443"	"ENSG00000187164.18"	7901	SHTN1
"16444"	"ENSG00000187166.1"	1300	H1FNT
"16445"	"ENSG00000187170.4"	680	LCE4A
"16446"	"ENSG00000187172.15"	4080	NA
"16447"	"ENSG00000187173.3"	592	LCE2A
"16448"	"ENSG00000187175.5"	588	KRTAP12-1
"16449"	"ENSG00000187180.3"	614	LCE2C
"16450"	"ENSG00000187185.4"	2114	NA
"16451"	"ENSG00000187186.14"	1833	LOC730098
"16452"	"ENSG00000187187.13"	9007	ZNF546
"16453"	"ENSG00000187189.10"	4180	TSPYL4
"16454"	"ENSG00000187191.14"	3516	DAZ3
"16455"	"ENSG00000187193.8"	1773	MT1X
"16456"	"ENSG00000187210.12"	6463	GCNT1
"16457"	"ENSG00000187223.3"	609	LCE2D
"16458"	"ENSG00000187229.3"	2054	NA
"16459"	"ENSG00000187231.13"	11349	SESTD1
"16460"	"ENSG00000187238.5"	288	LCE3B
"16461"	"ENSG00000187239.16"	6600	FNBP1
"16462"	"ENSG00000187240.13"	14284	DYNC2H1
"16463"	"ENSG00000187242.4"	1867	KRT12
"16464"	"ENSG00000187243.16"	4947	MAGED4B
"16465"	"ENSG00000187244.10"	5024	BCAM
"16466"	"ENSG00000187257.15"	7206	RSBN1L
"16467"	"ENSG00000187258.13"	2674	NPSR1
"16468"	"ENSG00000187260.15"	4044	WDR86
"16469"	"ENSG00000187266.13"	3079	EPOR
"16470"	"ENSG00000187268.11"	5858	FAM9C
"16471"	"ENSG00000187272.5"	1043	KRTAP9-8
"16472"	"ENSG00000187288.10"	1926	CIDEC
"16473"	"ENSG00000187323.11"	13160	DCC
"16474"	"ENSG00000187325.4"	2791	TAF9B
"16475"	"ENSG00000187372.11"	5061	PCDHB13
"16476"	"ENSG00000187391.19"	31529	MAGI2
"16477"	"ENSG00000187398.11"	8851	LUZP2
"16478"	"ENSG00000187416.11"	1900	LHFPL3
"16479"	"ENSG00000187446.11"	3950	CHP1
"16480"	"ENSG00000187472.4"	249	NA
"16481"	"ENSG00000187474.4"	2772	FPR3
"16482"	"ENSG00000187475.5"	718	HIST1H1T
"16483"	"ENSG00000187479.5"	2373	C11orf96
"16484"	"ENSG00000187481.2"	1111	NA
"16485"	"ENSG00000187483.9"	1718	SERPINA13P
"16486"	"ENSG00000187486.5"	3204	KCNJ11
"16487"	"ENSG00000187492.8"	3163	CDHR4
"16488"	"ENSG00000187498.14"	8188	COL4A1
"16489"	"ENSG00000187504.6"	746	NA
"16490"	"ENSG00000187510.7"	3998	PLEKHG7
"16491"	"ENSG00000187513.8"	1717	GJA4
"16492"	"ENSG00000187514.15"	3378	c("PTMA", "LOC728026", "MIR1244-1")
"16493"	"ENSG00000187516.6"	501	HYPM
"16494"	"ENSG00000187522.14"	4287	HSPA14
"16495"	"ENSG00000187527.10"	6228	ATP13A5
"16496"	"ENSG00000187531.13"	6152	SIRT7
"16497"	"ENSG00000187533.13"	5336	PRR27
"16498"	"ENSG00000187534.6"	442	NA
"16499"	"ENSG00000187535.13"	8168	IFT140
"16500"	"ENSG00000187536.4"	732	NA
"16501"	"ENSG00000187537.13"	2509	POTEG
"16502"	"ENSG00000187545.5"	1525	PRAMEF10
"16503"	"ENSG00000187546.13"	3587	AGMO
"16504"	"ENSG00000187550.8"	1092	SBK2
"16505"	"ENSG00000187553.8"	4364	CYP26C1
"16506"	"ENSG00000187554.11"	4608	TLR5
"16507"	"ENSG00000187555.14"	7969	USP7
"16508"	"ENSG00000187556.7"	988	NANOS3
"16509"	"ENSG00000187559.5"	2039	FOXD4L3
"16510"	"ENSG00000187566.4"	1188	NHLRC1
"16511"	"ENSG00000187569.2"	1079	DPPA3
"16512"	"ENSG00000187581.2"	533	COX8C
"16513"	"ENSG00000187583.10"	2833	PLEKHN1
"16514"	"ENSG00000187589.8"	1212	NA
"16515"	"ENSG00000187595.15"	5198	ZNF385C
"16516"	"ENSG00000187600.12"	1703	c("TMEM247", "LOC101805491")
"16517"	"ENSG00000187601.4"	1462	MAGEH1
"16518"	"ENSG00000187605.15"	12271	TET3
"16519"	"ENSG00000187607.15"	6754	ZNF286A
"16520"	"ENSG00000187608.8"	942	ISG15
"16521"	"ENSG00000187609.15"	7626	EXD3
"16522"	"ENSG00000187612.1"	933	OR5W2
"16523"	"ENSG00000187616.4"	1008	TMEM8C
"16524"	"ENSG00000187621.14"	10566	TCL6
"16525"	"ENSG00000187624.8"	2710	C17orf97
"16526"	"ENSG00000187626.8"	2375	ZKSCAN4
"16527"	"ENSG00000187627.14"	6871	RGPD1
"16528"	"ENSG00000187630.15"	2516	DHRS4L2
"16529"	"ENSG00000187634.11"	4166	SAMD11
"16530"	"ENSG00000187642.9"	3424	PERM1
"16531"	"ENSG00000187650.3"	2254	VMAC
"16532"	"ENSG00000187653.11"	135	NA
"16533"	"ENSG00000187657.6"	914	NA
"16534"	"ENSG00000187658.6"	686	C5orf52
"16535"	"ENSG00000187664.8"	3569	HAPLN4
"16536"	"ENSG00000187672.12"	7933	ERC2
"16537"	"ENSG00000187676.7"	4566	B3GLCT
"16538"	"ENSG00000187678.8"	5930	SPRY4
"16539"	"ENSG00000187682.2"	1303	ERAS
"16540"	"ENSG00000187686.4"	3338	NA
"16541"	"ENSG00000187688.14"	3410	TRPV2
"16542"	"ENSG00000187689.9"	1037	AMTN
"16543"	"ENSG00000187690.3"	1929	CXorf67
"16544"	"ENSG00000187695.7"	2660	KIAA1257
"16545"	"ENSG00000187699.10"	5997	C2orf88
"16546"	"ENSG00000187701.3"	954	OR2T27
"16547"	"ENSG00000187713.6"	1557	TMEM203
"16548"	"ENSG00000187714.6"	2420	SLC18A3
"16549"	"ENSG00000187715.13"	5818	KBTBD12
"16550"	"ENSG00000187720.14"	15837	THSD4
"16551"	"ENSG00000187721.8"	494	NA
"16552"	"ENSG00000187726.8"	3475	DNAJB13
"16553"	"ENSG00000187730.7"	1928	GABRD
"16554"	"ENSG00000187733.6"	1632	AMY1C
"16555"	"ENSG00000187735.12"	4391	TCEA1
"16556"	"ENSG00000187736.12"	3109	NHEJ1
"16557"	"ENSG00000187741.14"	9736	FANCA
"16558"	"ENSG00000187742.14"	9813	SECISBP2
"16559"	"ENSG00000187747.2"	1008	OR52B6
"16560"	"ENSG00000187753.12"	1932	C9orf153
"16561"	"ENSG00000187754.8"	1311	SSX7
"16562"	"ENSG00000187758.7"	2258	ADH1A
"16563"	"ENSG00000187762.5"	310	NA
"16564"	"ENSG00000187763.3"	934	NA
"16565"	"ENSG00000187764.11"	14160	SEMA4D
"16566"	"ENSG00000187766.1"	876	KRTAP10-8
"16567"	"ENSG00000187772.7"	6002	LIN28B
"16568"	"ENSG00000187773.8"	3843	FAM69C
"16569"	"ENSG00000187775.16"	16108	DNAH17
"16570"	"ENSG00000187778.13"	3269	MCRS1
"16571"	"ENSG00000187783.11"	3157	TMEM72
"16572"	"ENSG00000187790.10"	8468	FANCM
"16573"	"ENSG00000187791.12"	1373	FAM205C
"16574"	"ENSG00000187792.4"	6924	ZNF70
"16575"	"ENSG00000187796.13"	6699	CARD9
"16576"	"ENSG00000187800.13"	5530	PEAR1
"16577"	"ENSG00000187801.14"	2386	ZFP69B
"16578"	"ENSG00000187806.7"	1012	TMEM202
"16579"	"ENSG00000187808.4"	1552	SOWAHD
"16580"	"ENSG00000187812.12"	2112	NA
"16581"	"ENSG00000187815.9"	3248	ZFP69
"16582"	"ENSG00000187821.8"	1236	HELT
"16583"	"ENSG00000187823.3"	2613	ZCCHC16
"16584"	"ENSG00000187824.8"	3508	TMEM220
"16585"	"ENSG00000187833.7"	3045	C2orf78
"16586"	"ENSG00000187837.3"	642	HIST1H1C
"16587"	"ENSG00000187838.16"	2834	PLSCR3
"16588"	"ENSG00000187840.4"	1073	EIF4EBP1
"16589"	"ENSG00000187847.3"	910	NA
"16590"	"ENSG00000187848.12"	1969	P2RX2
"16591"	"ENSG00000187855.5"	2260	ASCL4
"16592"	"ENSG00000187857.3"	939	OR6C75
"16593"	"ENSG00000187860.10"	6586	CCDC157
"16594"	"ENSG00000187862.11"	2829	TTC24
"16595"	"ENSG00000187866.7"	4554	FAM122A
"16596"	"ENSG00000187867.8"	2533	PALM3
"16597"	"ENSG00000187870.7"	1052	NA
"16598"	"ENSG00000187871.2"	1911	GFRAL
"16599"	"ENSG00000187889.12"	4633	C1orf168
"16600"	"ENSG00000187893.10"	3148	CXXC1P1
"16601"	"ENSG00000187900.4"	930	NA
"16602"	"ENSG00000187902.11"	6083	SHISA7
"16603"	"ENSG00000187904.3"	591	NA
"16604"	"ENSG00000187905.10"	5542	LRRC74B
"16605"	"ENSG00000187908.15"	8073	DMBT1
"16606"	"ENSG00000187912.11"	2238	CLEC17A
"16607"	"ENSG00000187918.4"	939	OR51I2
"16608"	"ENSG00000187922.13"	4263	LCN10
"16609"	"ENSG00000187942.11"	4490	LDLRAD2
"16610"	"ENSG00000187944.2"	1669	C2orf66
"16611"	"ENSG00000187950.8"	3958	OVCH1
"16612"	"ENSG00000187951.10"	9184	c("ARHGAP11B", "LOC100288637")
"16613"	"ENSG00000187952.9"	1234	NA
"16614"	"ENSG00000187953.10"	3879	PMS2CL
"16615"	"ENSG00000187954.12"	9787	CYHR1
"16616"	"ENSG00000187955.11"	8647	COL14A1
"16617"	"ENSG00000187957.7"	3935	DNER
"16618"	"ENSG00000187959.9"	1528	CPSF4L
"16619"	"ENSG00000187961.13"	3395	KLHL17
"16620"	"ENSG00000187969.5"	842	ZCCHC13
"16621"	"ENSG00000187979.4"	1859	NA
"16622"	"ENSG00000187980.6"	3298	PLA2G2C
"16623"	"ENSG00000187984.12"	2947	ANKRD19P
"16624"	"ENSG00000187987.9"	3283	ZSCAN23
"16625"	"ENSG00000187988.5"	1169	NA
"16626"	"ENSG00000187994.13"	4201	RINL
"16627"	"ENSG00000187997.11"	2763	C17orf99
"16628"	"ENSG00000187999.4"	924	NA
"16629"	"ENSG00000188000.3"	3224	OR7D2
"16630"	"ENSG00000188001.9"	9535	TPRG1
"16631"	"ENSG00000188002.10"	3364	NA
"16632"	"ENSG00000188004.9"	2501	C1orf204
"16633"	"ENSG00000188010.12"	1364	MORN2
"16634"	"ENSG00000188011.5"	2606	RTP5
"16635"	"ENSG00000188013.6"	1075	NA
"16636"	"ENSG00000188015.9"	955	S100A3
"16637"	"ENSG00000188021.8"	4230	UBQLN2
"16638"	"ENSG00000188026.12"	8670	RILPL1
"16639"	"ENSG00000188029.8"	1020	CTSL3P
"16640"	"ENSG00000188032.9"	1540	C19orf67
"16641"	"ENSG00000188033.9"	4921	ZNF490
"16642"	"ENSG00000188037.10"	3306	CLCN1
"16643"	"ENSG00000188038.7"	1052	NRN1L
"16644"	"ENSG00000188039.13"	8495	NWD1
"16645"	"ENSG00000188042.7"	4013	ARL4C
"16646"	"ENSG00000188050.2"	1445	RNF133
"16647"	"ENSG00000188051.6"	2317	TMEM221
"16648"	"ENSG00000188056.11"	2712	TREML4
"16649"	"ENSG00000188060.6"	2180	RAB42
"16650"	"ENSG00000188064.9"	5051	WNT7B
"16651"	"ENSG00000188070.9"	5948	C11orf95
"16652"	"ENSG00000188076.2"	431	SCGB1C1
"16653"	"ENSG00000188078.5"	444	NA
"16654"	"ENSG00000188086.12"	3229	PRSS45
"16655"	"ENSG00000188089.13"	5823	PLA2G4E
"16656"	"ENSG00000188092.14"	5143	GPR89B
"16657"	"ENSG00000188095.4"	1783	MESP2
"16658"	"ENSG00000188100.8"	345	FAM25A
"16659"	"ENSG00000188101.5"	1897	NA
"16660"	"ENSG00000188107.14"	17070	EYS
"16661"	"ENSG00000188112.8"	6852	C6orf132
"16662"	"ENSG00000188120.14"	4787	DAZ1
"16663"	"ENSG00000188124.2"	1069	OR2AG2
"16664"	"ENSG00000188130.13"	9424	MAPK12
"16665"	"ENSG00000188133.5"	3581	TMEM215
"16666"	"ENSG00000188152.12"	3906	NUTM2G
"16667"	"ENSG00000188153.12"	8738	COL4A5
"16668"	"ENSG00000188155.10"	1625	KRTAP10-6
"16669"	"ENSG00000188157.13"	10758	AGRN
"16670"	"ENSG00000188158.14"	10168	NHS
"16671"	"ENSG00000188162.10"	10709	OTOG
"16672"	"ENSG00000188163.7"	1801	FAM166A
"16673"	"ENSG00000188167.8"	3966	TMPPE
"16674"	"ENSG00000188171.15"	6713	ZNF626
"16675"	"ENSG00000188175.9"	2483	HEPACAM2
"16676"	"ENSG00000188176.11"	2470	SMTNL2
"16677"	"ENSG00000188177.13"	11803	ZC3H6
"16678"	"ENSG00000188185.11"	3115	NA
"16679"	"ENSG00000188186.10"	1936	LAMTOR4
"16680"	"ENSG00000188191.14"	4491	PRKAR1B
"16681"	"ENSG00000188199.10"	5080	NUTM2B
"16682"	"ENSG00000188211.8"	6438	NCR3LG1
"16683"	"ENSG00000188215.9"	6248	DCUN1D3
"16684"	"ENSG00000188219.14"	4192	POTEE
"16685"	"ENSG00000188223.9"	1037	NA
"16686"	"ENSG00000188227.12"	12007	ZNF793
"16687"	"ENSG00000188229.5"	2111	TUBB4B
"16688"	"ENSG00000188234.13"	3474	AGAP4
"16689"	"ENSG00000188242.4"	2766	PP7080
"16690"	"ENSG00000188243.12"	2897	COMMD6
"16691"	"ENSG00000188257.10"	1685	PLA2G2A
"16692"	"ENSG00000188263.10"	3696	IL17REL
"16693"	"ENSG00000188266.13"	5707	HYKK
"16694"	"ENSG00000188269.8"	1924	OR7A5
"16695"	"ENSG00000188277.9"	2370	C15orf62
"16696"	"ENSG00000188280.11"	2256	NA
"16697"	"ENSG00000188282.12"	4357	RUFY4
"16698"	"ENSG00000188283.11"	8417	ZNF383
"16699"	"ENSG00000188290.10"	1118	HES4
"16700"	"ENSG00000188293.5"	769	IGFL1
"16701"	"ENSG00000188295.14"	1980	ZNF669
"16702"	"ENSG00000188305.5"	2574	C19orf35
"16703"	"ENSG00000188306.6"	1827	LRRIQ4
"16704"	"ENSG00000188312.13"	9794	CENPP
"16705"	"ENSG00000188313.12"	4340	PLSCR1
"16706"	"ENSG00000188314.3"	933	NA
"16707"	"ENSG00000188315.7"	4813	C3orf62
"16708"	"ENSG00000188316.13"	3164	ENO4
"16709"	"ENSG00000188321.13"	6783	ZNF559
"16710"	"ENSG00000188322.4"	4992	SBK1
"16711"	"ENSG00000188324.3"	945	OR6C6
"16712"	"ENSG00000188334.3"	654	BSPH1
"16713"	"ENSG00000188338.14"	3968	SLC38A3
"16714"	"ENSG00000188340.1"	954	OR6N2
"16715"	"ENSG00000188342.11"	3619	GTF2F2
"16716"	"ENSG00000188343.12"	7423	FAM92A1
"16717"	"ENSG00000188352.12"	10036	FOCAD
"16718"	"ENSG00000188365.3"	753	NA
"16719"	"ENSG00000188368.9"	2575	PRR19
"16720"	"ENSG00000188372.14"	2716	ZP3
"16721"	"ENSG00000188373.4"	888	C10orf99
"16722"	"ENSG00000188375.4"	1057	H3F3C
"16723"	"ENSG00000188379.6"	1135	IFNA2
"16724"	"ENSG00000188383.8"	863	NA
"16725"	"ENSG00000188385.11"	7608	JAKMIP3
"16726"	"ENSG00000188386.6"	3407	PPP3R2
"16727"	"ENSG00000188388.10"	1679	NA
"16728"	"ENSG00000188389.10"	2114	PDCD1
"16729"	"ENSG00000188393.8"	1220	CLEC2A
"16730"	"ENSG00000188394.6"	1170	GPR21
"16731"	"ENSG00000188396.3"	763	TCTEX1D4
"16732"	"ENSG00000188399.5"	659	NA
"16733"	"ENSG00000188403.7"	353	NA
"16734"	"ENSG00000188404.8"	2725	SELL
"16735"	"ENSG00000188408.5"	1216	MAGEB5
"16736"	"ENSG00000188419.13"	8645	CHM
"16737"	"ENSG00000188425.3"	1657	NANOS2
"16738"	"ENSG00000188428.18"	3315	BLOC1S5
"16739"	"ENSG00000188438.4"	222	NA
"16740"	"ENSG00000188439.3"	1136	NA
"16741"	"ENSG00000188451.8"	1979	NA
"16742"	"ENSG00000188452.13"	4765	CERKL
"16743"	"ENSG00000188459.4"	1494	NA
"16744"	"ENSG00000188460.4"	1126	NA
"16745"	"ENSG00000188467.10"	4778	SLC24A5
"16746"	"ENSG00000188477.13"	2381	NA
"16747"	"ENSG00000188483.7"	2711	IER5L
"16748"	"ENSG00000188486.3"	1614	H2AFX
"16749"	"ENSG00000188487.11"	3435	INSC
"16750"	"ENSG00000188488.13"	3775	SERPINA5
"16751"	"ENSG00000188493.14"	3375	C19orf54
"16752"	"ENSG00000188501.11"	3518	LCTL
"16753"	"ENSG00000188505.4"	1978	NCCRP1
"16754"	"ENSG00000188508.10"	661	KRTDAP
"16755"	"ENSG00000188511.12"	6769	C22orf34
"16756"	"ENSG00000188512.6"	313	NA
"16757"	"ENSG00000188517.14"	6653	COL25A1
"16758"	"ENSG00000188522.14"	7876	FAM83G
"16759"	"ENSG00000188523.8"	2147	CFAP77
